№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
30	Девочки хором пели весёлую	песню	85	1	3	песню 70, песенку 14, забавную песню 1	82.352941	0.734652	160.1	2	1756.552941	1651.058824
31	Именинник налил в стакан апельсиновый	сок	86	0	3	сок 84, отвар 1, напиток 1	97.674419	0.182606	35.8	1	1973.965116	1830.848837
32	Брат прислушался и услышал из соседней комнаты женский	голос	86	0	9	голос 44, крик 20, плач 9, смех 7,  голос 2, разговор 1, визг 1, голосок 1, шепот 1	51.162791	2.044470	424.5	2	1882.802326	1711.744186
33	Начинающий актёр мечтал сняться хотя бы в каком-нибудь	фильме	86	0	10	фильме 43, эпизоде 24, сериале 7, кино 6, ролике 1, клипе 1, кинофильме 1, эпизодике 1, фильмы 1, водевиле 1	50.000000	2.024756	196.8	2	2156.755814	1937.081395
34	Марина взяла пульт и выключила надоевший	телевизор	84	2	10	телевизор 61, сериал 6, фильм 6, компьютер 4, телефизор 2, теелвизор 1, магнитофон 1, телефон/телевизор 1, канал 1, микрофон 1	72.619048	1.597144	72.3	4	2370.261905	2103.309524
35	Сиделка сварила для больного куриный	бульон	86	0	4	бульон 70, суп 13, бульончик 2, суп, бульон 1	81.395349	0.854689	12.2	2	1607.197674	1296.674419
36	Моя двоюродная сестра учится на химическом	факультете	86	0	8	факультете 74, институте 4, отделении 3, ВУЗе 1, техникуме 1, университете 1, унивеситете 1, заводе 1	86.046512	0.934934	31.7	4	2369.406977	2146.186047
37	Невропатолог прописал мне успокоительные	таблетки	85	1	9	таблетки 46, лекарства 15, капли 13, пилюли 4, средства 3, настои 1, теблетки 1, микстуры 1, невесте 1	54.117647	2.014711	21.2	3	2341.858824	2263.682353
38	Жених подарил бриллиантовое кольцо своей	невесте	85	1	10	невесте 75, подруге 2, невевсте 1, соседке 1, будущей жене 1, капли 1, жене 1, возлюбленной 1, любимой 1, девушке 1	88.235294	0.889845	31.7	3	1643.211765	1525.388235
39	Сергей размешивал чай серебряной	ложкой	86	0	5	ложкой 66, ложечкой 16, вилкой 2, кружке 1, - 1	76.744186	1.020102	40.5	2	1752.860465	1680.127907
40	Житель дома решил написать мэру анонимное	письмо	85	1	6	письмо 77, послание 4, пиьсмо 1, письмо, анонимку 1, - 1, заявление 1	90.588235	0.638302	304.3	2	1873.705882	1789.694118
41	По утрам почтальон неспешно разносит	почту	86	0	5	почту 48, газеты 18, письма 13, корреспонденцию 5, прессу 2	55.813953	1.718681	27.2	2	2191.965116	1918.581395
42	Крестьянин вчера усердно полол	грядки	86	0	14	грядки 32, огород 19, грядку 10, картошку 6, траву 6, сорняки 3, морковку 2, морковь 2, лук 1, снопы 1, свой огород 1, дно 1, капусту 1, клумбу 1	37.209302	2.778540	8.1	2	2890.151163	2648.651163
43	В начале занятия ученик лениво открыл	книгу	86	0	16	книгу 21, тетрадь 20, учебник 17, дневник 9, книжку 4, портфель 2, рот 2, тетрадку 2, дверь 2, парту 1, букварь 1, свою тетрадь 1, ранец 1, тетрадку, книжку 1, учебники 1, форточку 1	24.418605	3.022853	413.9	2	2176.604651	2012.302326
44	На лугу пастушка неумело стригла	овцу	84	2	19	овцу 25, траву 18, овец 15, газон 5, травку 3, овечку 3, козу 2, цветы 2, волосы 1, барашка 1, барана 1, мальчика 1, ногти 1, овечек 1, козочку 1, шерсть 1, барашку 1, ягненка 1, кусты 1	29.761905	3.119962	17.5	2	2968.607143	2749.464286
45	Воспитанница с гувернанткой учили наизусть	стихотворение	85	1	16	стихотворение 33, стихи 28, стихотворения 4, стих 4, поэму 3, пьесу 2, стишок 2, - 1, французский 1, стошок 1, тексты 1, стихотворние 1, пушкина 1, язык 1, вдохновение 1, поэмы 1	38.823529	2.576146	48.7	6	2061.247059	1876.047059
46	Актриса мечтает похудеть и отказывается от	еды	85	1	24	еды 37, сладкого 11, ужина 4, хлеба 4, пищи 4, пирожного 3, торта 3, жирного 2, обеда 2, блинов 1, стадкого 1, мучного 1, сладостей 1, слодостей 1, плюшек 1, мороженого 1, десерта 1, роли 1, сахара 1, сладкой пищи 1, пирожных 1, котлет 1, пироженых 1, каши 1	43.529412	3.252764	56.9	2	1769.788235	1395.329412
47	За старательную работу директор выплатил сотрудникам	премию	84	2	12	премию 69, гонорар 4, зарплату 2, примии 1, вознаграждение 1, денежное вознаграждение 1, награждение 1, премии 1, пряемию 1, премиальные 1, аванс 1, деньги 1	82.142857	1.255553	56.2	3	2150.107143	1934.285714
48	Сосед любит зимой кататься на	лыжах	86	0	6	лыжах 53, коньках 22, санках 6, санях 3, катке 1, велосипеде 1	61.627907	1.519847	18.3	2	1156.488372	976.697674
49	Отдыхающие загорали и купались в	море	86	0	14	море 39, реке 13, озере 13, речке 5, пруду 5, бассейне 3, серебряном бору 1, сапогах 1, 0223 1, парке 1, пансионате 1, месте 1, пляже 1, реке  1	45.348837	2.585378	159.5	2	1666.558140	1400.000000
50	Бабушка испекла вкусные пирожки с 	повидлом	86	0	23	повидлом 18, капустой 16, мясом 14, яблоками 6, малиной 4, изюмом 4, вареньем 4, творогом 3, грибами 3, грушей 1, лимоном 1, сыром, капустой 1, картошкой 1, повидлой 1, свеклой 1, яблоком 1, павидлом 1, маком 1, морковкой 1, джемом 1, морошкой 1, луком 1, клубникой 1	20.930233	3.619507	1.9	3	1399.151163	1223.604651
51	Играя в футбол, мальчик упал и сломал	ногу	86	0	9	ногу 48, руку 27, пальчик 3, шею 2, палец 2, желудок 1, ключицу 1, себе руку 1, лодыжку 1	55.813953	1.714462	459.2	2	2196.895349	2059.558140
52	Спортсмен получил травму и не принял участие в	соревнованиях	85	1	18	соревнованиях 55, соревновании 8, олимпиаде 3, забеге 3, состязаниях 2, беге 2, финале 1, игре 1, экспедиции 1, состязании 1, в следующем туре 1, турнире 1, награждении 1, дальнейших соревнованиях 1, спорте 1, соревнование 1, сорвенованиях 1, спортакиаде 1	64.705882	2.227220	32.7	6	1056.376471	846.423529
53	Класс отправился с экскурсией в	музей	86	0	25	музей 38, поход 8, лес 5, зоопарк 4, горы 4, город 4, кино 3, Москву 2, Суздаль 2, галерею 1, замок 1, карелию 1, Англию 1, ленинград 1, парк культуры 1, пушкин 1, деревню 1, Питер 1, путешествие 1, Париж 1, Кремль 1, Нижний новгород 1, другой город 1, театр 1, иностранные государства 1	44.186047	3.312477	87.0	2	2442.104651	2022.197674
54	Открывая дверь, секретарша случайно уронила	ручку	84	2	28	ручку 12, ключи 11, папку 11, поднос 7, ключ 5, стакан 4, вазу 4, чашку 4, карандаш 2, документы 2, документ 2, бумаги 2, кофе 2, чернильницу 2, стул 1, калькулятор 1, пресс-папье 1, ложку 1, блокнот 1, чайник 1, микрофон 1, телефон 1, - 1, журнал 1, _ (ответ потерян) 1, тетрадь 1, чашку с кофе 1, брошюру 1	14.285714	4.173411	57.6	2	2897.940476	2660.154762
55	В доме узбечка монотонно ткала	ковер	86	0	14	ковер 63, пряжу 4, ткань 4, скатерть 3, ковры 2, холсты 2, дорожку 1, коврик 1, на станке 1, полотно 1, палантин 1, палас 1, холст 1, половик 1	73.255814	1.759712	29.5	2	2609.755814	2298.872093
56	Дворник выбросил обёртку в	урну	86	0	18	урну 33, мусорное ведро 10, корзину 5, помойку 5, мусорный ящик 5, мусор 4, бак 4, мусорный бак 3, мусорку 3, ведро 3, окно 2, мусорницу 2, ящик 2, мусорную корзину 1, унитаз 1, корзину мусорную 1, муорную яму 1, мусорник 1	38.372093	3.277685	7.8	2	1958.895349	1791.965116
57	Девушка вплела в волосы	ленту	84	2	20	ленту 42, цветок 6, цветы 6, бант 6, венок 3, розу 3, заколку 2, ленты 2, косу 2, ромашку 2, косичку 1, банты, бантики 1, ленточку 1, бант(ик) 1, бантик 1, бантики 1, 1483 1, косу, ой, не косу, а ленту 1, пыль 1, бусы 1	50.000000	2.933788	35.9	2	2468.071429	2296.809524
58	Соседка одолжила у меня	деньги	84	2	21	деньги 36, денег 13, соль 11, сто рублей 3, - 2, сахар 2, соли 2, три рубля 2, спички 1, деьги 1, пистолет 1, яйцо 1, муки 1, картошку 1, чай 1, дуршлак 1, _ 1, десять рублей 1, кастрюлю 1, ножницы 1, сто грамм спирта 1	42.857143	2.999083	512.4	2	2349.345238	2052.845238
59	Посетитель вошёл и робко сел на	стул	86	0	10	стул 66, диван 6, кресло 5, скамейку 3, краешек стула 1, стол 1, краешек 1, скамью 1, табурет 1, стульчик 1	76.744186	1.416912	87.6	1	1460.569767	1371.383721
60	Учитель искренне похвалил	ученика	85	1	15	ученика 57, учеников 10, ученицу 3, студента 2, меня 2, _ 2, детей 1, мальчика 1, - 1, учащихся 1, школьницу 1, Васю 1, девочку 1, директора 1, учащегося 1	67.058824	1.980580	80.4	4	2251.494118	2063.600000
61	После обеда Ваня допил вишнёвый	сок	86	0	6	сок 62, компот 19, сироп 2, крюшон 1, чай, сок 1, напиток 1	72.093023	1.171953	35.8	1	1943.267442	1824.709302
62	Тётушка распускала старомодную	кофту	84	2	20	кофту 48, шаль 12, сплетню 2, кофточку 2, косу 2, - 2, шапку 2, прическу 2, вязаную кофту 1, пряжу 1, вязаную вещь 1, вещь 1, крфту 1, шляпу 1, юбку 1, одежду 1, вышивку 1, пенту 1, жилетку 1, вещи 1	57.142857	2.545916	7.7	2	2919.059524	2738.690476
63	Продавец доверху наполнил пластиковый	пакет	85	1	13	пакет 44, стакан 24, стаканчик 3, мешок 2, контейнер 2, кувшин 2, поднос 2, ящик 1, нет ответа 1, кулек 1, графин 1, флакон 1, сосуд 1	51.764706	2.138697	65.8	2	2508.152941	2334.000000
64	После еды сержант облизал походную	ложку	86	0	8	ложку 68, миску 9, тарелку 3, кружку 2, чашку 1, нет ответа 1, кухню 1, плошку 1	79.069767	1.202641	40.5	2	2312.639535	2128.302326
65	Перед выходом девочка надела шерстяные	носки	86	0	11	носки 48, варежки 14, колготки 7, чулки 4, гольфы 4, носочки 3, перчатки 2, шарф 1, рейтузы 1, руковички 1, пальто 1	55.813953	2.196177	25.2	2	2436.918605	2314.872093
66	Бабушка замёрзла и закуталась в тёплый	платок	86	0	7	платок 46, плед 25, шарф 10, тулуп 2, шаль 1, кафтан 1, свитер 1	53.488372	1.712317	40.3	2	2002.279070	1688.976744
67	Сестра купила в посудном магазине фарфоровую	чашку	86	0	13	чашку 47, вазу 18, статуэтку 6, тарелку 4, миску 2, кружку 2, конфетницу 1, чашу 1, посуду 1, люстру 1, кастрюлю 1, статуетку  1, куклу 1	54.651163	2.197961	33.3	2	2323.988372	2100.511628
68	Бывшие коллеги вспоминают друг друга с горькой	иронией	80	6	13	иронией 20, улыбкой 16, усмешкой 15, обидой 12, досадой 4, грустью 4, ухмылкой 2, ностальгией 2, радостью 1, тоской 1, час 1, успешкой 1, неохотой 1	25.000000	2.921160	20.7	4	3432.650000	3247.850000
69	Маша связала свитер из тёплой	шерсти	86	0	5	шерсти 74, пряжи 9, шерссти 1, ткани, шерсти, шерсти 1, - 1	86.046512	0.751510	16.9	2	2104.790698	1992.616279
70	В пути пассажир читал увлекательную	книгу	85	1	11	книгу 60, историю 5, книжку 4, повесть 4, газету 3, статью 3, литературу 2, брошюрку 1, сказку 1, пьесу 1, книгу  1	70.588235	1.779593	413.9	2	2183.188235	2078.376471
71	Графиня прятала записку в деревянном	ящике	86	0	17	ящике 27, сундучке 13, сундуке 11, шкафу 10, ящичке 8, ларце 3, шкафчике 2, комоде 2, столе 2, секретере 1, - 1, доме 1, пенале 1, дупле 1, сейфе 1, коможе 1, шкафчике, сундуке 1	31.395349	3.141200	75.4	3	3086.034884	2698.651163
72	Первоклассник украшал ёлку яркими	игрушками	86	0	14	игрушками 38, шарами 27, гирляндами 4, бусами 3, огнями 3, игрушкаи 2, шариками 2, фонариками 1, флажками 1, конфети 1, картинками 1, лампочками 1, цветами 1, красками 1	44.186047	2.364486	30.9	4	2104.872093	1950.395349
73	Музыкант играл на старинной	скрипке	86	0	16	скрипке 35, флейте 16, гитаре 12, виолончели 5, дудочке 3, арфе 3, трубе 2, балалайке 2, рояль 1, домре 1, - 1, — 1, скрипкой 1, ложке 1, валторне 1, дудке 1	40.697674	2.802266	18.4	2	2658.755814	2584.558140
74	В сентябре директор школы взял на работу нового 	учителя	86	0	14	учителя 38, преподавателя 15, сотрудника 13, педагога 10, учителя  1, тренера 1, перподавателя 1, историка 1, сотрудницу 1, завуча 1, преподаателя 1, специалиста 1, химика 1, секретаря 1	44.186047	2.480339	113.8	4	1857.046512	1643.825581
75	Школьники боялись заблудиться в незнакомом	лесу	86	0	8	лесу 46, месте 17, городе 17, парке 2, местности 1, - 1, селе? 1, здании 1	53.488372	1.832572	211.5	2	2109.965116	1881.744186
76	Ровно в девять вечера бабушка ложится в тёплую	постель	85	1	6	постель 62, кровать 17, постельку 2, ванну 2, ванную 1, кроватку 1	72.941176	1.201779	63.4	2	1799.788235	1645.447059
77	Зрители отзывались о пьесе с искренним	восторгом	83	3	21	восторгом 23, восхищением 22, удивлением 9, удовольствием 6, уважением 4, сочувствием 3, сожалением 2, удовлетворением 1, впечатлением  1, откровением 1, наслаждением 1, волнением 1, возбуждением 1, разочарованием 1, чувством 1, интересом 1, мнением 1, изумлением 1, недовольством 1, раздражением 1, пожеланием 1	27.710843	3.231143	56.2	3	2828.373494	2597.060241
78	Мама увлечённо выращивала комнатные	цветы	86	0	7	цветы 53, растения 26, фиалки 2, растение 2, цветы, растения 1, цветочки 1, комнатные растения 1	61.627907	1.428692	92.4	2	1844.744186	1592.616279
79	За чаем друг рассказывал смешные	истории	86	0	6	истории 59, анекдоты 22, рассказы 2, байки 1, анектоды 1, случаи 1	68.604651	1.226457	443.9	4	1760.988372	1601.476744
80	Девочка гладила пушистую	кошку	86	0	19	кошку 54, кофту 4, кошечку 4, собаку 4, юбку 3, кофточку 3, белку 2, кошнечку 1, игрушку 1, - 1, юбочку 1, шерсть кота 1, гладила 1, куклу 1, белочку 1, шер/шапку 1, собачку 1, голову 1, жаржетку 1	62.790698	2.399826	50.4	2	2478.046512	2331.441860
81	В командировки военный брал с собой	чемодан	83	3	44	чемодан 18, жену 7, портфель 3, пистолет 3, бритву 3, сына 3, планшет 3, документы 2, оружие 2, рюкзак 2, вещмешок 2, кипятильник 2, книги 2, карту 1, электрическую бритву 1, компот 1, книжку 1, друзей 1, телефон 1, чемоданчик 1, водку 1, запасные брюки 1, несессер 1, талисман 1, документ 1, билет 1, кофе 1, револьвер 1, ноутбук 1, бинокль 1, книгу 1, ложку 1, саквояж 1, бутерброд 1, кружку 1, фен 1, автомат 1, бутылку водки 1, сигарету 1, наган 1, обед 1, сумку 1, бритвенный прибор 1, папку 1	21.686747	4.802936	42.8	3	3167.638554	3114.831325
82	По заданию педагога студент чертит	чертеж	85	1	24	чертеж 40, схему 9, эскиз 6, проект 4, деталь 3, план 3, дом 2, круг 2, чертежи 1, лампу 1, макет 1, лестницу 1, диплом 1, чертенка 1, диаграмму 1, линии 1, таблицу 1, план района 1, фигуры 1, квадрат 1, на доске 1, плакат 1, картинку 1, ерунду 1	47.058824	3.133791	17.0	2	3657.000000	3515.870588
83	Перед праздником секретарша украсила	кабинет	85	1	15	кабинет 30, офис 17, стол 9, елку 7, комнату 7, приемную 4, зал 3, помещение 1, помещение цветами 1, свой стол 1, - 1, окно 1, гирляндами 1, дверь 1, салон 1	35.294118	2.911970	148.5	3	3020.929412	2812.141176
84	Кладовщик убрал ключи в	магазине	82	4	57	магазине 6, сейфе 3, подвал 3, каморке 3, каптерке 2, сарае 2, — 2, сторожке 2, кармане 2, квартире 2, офис 2, комнате 2, подсобке 2, кладовку 2, - 2, кладовке 2, пятницу 2, мастерской 2, кладовую 1, зал 1, приемной 1, баню 1, воскресенье 1, каптерку 1, клад 1, помещении 1, шкафу 1, карман 1, бане 1, подъезд 1, офисе 1, ночи 1, столе 1, коридоре 1, магазин 1, подсобку 1, канун 1, гараже 1, гардеробе 1, гостиной 1, соседней… кладовой 1, конторе 1, амбар 1, гараж 1, комнату 1, ключнице 1, стол 1, шкафчике 1, доме 1, канцелярии 1, холле 1, сумке 1, школе 1, склад 1, парикмахерскую 1, понедельник 1, от кладовки 1	7.317073	5.652986	147.2	4	4647.731707	4468.658537
85	Во дворе мальчишки весело играют в	футбол	85	1	17	футбол 42, мяч 9, прятки 6, лапту 6, волейбол 5, снежки 4, хоккей 3, домино 1, классики 1, веселые игры 1, салочки 1, скакалку 1, игры 1, города 1, гонялки 1, шахматы 1, гольшу 1	49.411765	2.757735	27.4	2	1170.717647	1057.635294
86	Неловкий официант споткнулся и пролил чай на	посетителя	85	1	23	посетителя 13, скатерть 11, пол 11, стол 11, клиента 8, брюки 7, ковер 5, колени 3, костюм 2, свою рубашку 1, постеителя 1, мои колени 1, постетителя 1, рубашку 1, пиджак 1, посетителей 1, салфитку 1, одежду 1, стул 1, платье дамы 1, себя 1, полу 1, голову 1	15.294118	3.770768	36.2	5	1795.952941	1694.752941
87	Троечник неожиданно удачно написал контрольную работу по	математике	86	0	12	математике 59, физике 6, химии 5, алгебре 4, русскому 3, географии 2, литературе 2, четыре 1, геометрии 1, русскому языку 1, астрономии 1, арифметике 1	68.604651	1.880332	28.0	5	1586.093023	1368.162791
88	Бухгалтер нещадно критикует себя за	ошибку	85	1	33	ошибку 24, ошибки 15, промахи 4, оплошность 3, лень 3, обман 2, невнимательность 2, растрату 2, недосдачу 2, работу 2, - 2, недочеты 2, медлительность 2, воровство 1, нерешительность 1, мягкотелость 1, отчет 1, халатность 1, мысли 1, плохое 1, огрехи 1, несерьезность 1, опечатки 1, неправильное выполнение работы 1, промах 1, неторопливость 1, нет ответа 1, забывчивость 1, невыполнение 1, несданный баланс 1, неточность 1, спешку 1, характер 1	28.235294	4.031129	104.4	3	2495.023529	2357.423529
89	Консьержка раз в месяц мыла	полы	84	2	16	полы 26, пол 21, окна 19, подъезд 4, лестницу 2, дверь 2, двери 1, - 1, лестницы 1, окно 1, полы в коридоре 1, лестничный пролет 1, посуду 1, ступеньки 1, тамбур 1, зеркало 1	30.952381	2.735642	181.9	2	2229.178571	2097.404762
90	Семейная пара мечтала следующим летом отдохнуть в	Крыму	86	0	38	Крыму 14, Сочи 7, Турции 7, санатории 5, горах 5, Египте 4, Испании 3, Греции 3, Ялте 3, Италии 3, сочи 2, крыму 2, пансионате 2, Тайланде 2, Геленджике 1, на курорте 1, Гаграх 1, море 1, Франции 1, египте  1, болгарии 1, греции 1, теплых краях 1, Болгарии 1, Европе 1, круизе 1, подмосковье 1, москве 1, Краснодаре 1, Грузии 1, деревне 1, Пицунде 1, космосе 1,  турции 1, Канарах 1, городе 1, Англии 1, италии 1	16.279070	4.672256	NA	2	2638.290698	2412.232558
91	В зоопарке дети впервые увидели	слона	86	0	19	слона 39, жирафа 11, бегемота 6, льва 5, медведя 4, зебру 4, тигра 3, обезьяну 2, крокодила 2, Ельцина 1, слон 1, зверей 1, бородавочника 1, гуся 1, орангутанга 1, носорога 1, кошку 1, верблюда 1, фламинго 1	45.348837	2.983721	23.8	2	2146.686047	1930.860465
92	На рынке фермер недорого продавал 	овощи	86	0	32	овощи 14, мясо 12, молоко 12, картошку 8, капусту 6, яблоки 5, помидоры 2, корову 2, огурцы 2, дыню 1, курицу 1, сыр 1, апельсины 1, яйца 1, телятину 1, мед 1, свою мясную продукцию 1, редьку 1, колбасу 1, морковь 1, мясо кур 1, клубнику 1, - 1, масло 1, — 1, фрукты 1, мяту 1, продукцию 1, картофель 1, теленка 1, крольчатину 1, творог 1	16.279070	4.141829	1.6	3	2386.395349	2173.511628
93	Посетители радостно фотографировались на фоне	природы	85	1	45	природы 10, фонтана 7, картины 6, памятника 5, пейзажа 4, моря 4, леса 3, слона 2, башни 2, церкви 2, сосны 2, музея 2, реки 2, неба 2, озера 2, огромной горы 1, океана 1, дерево 1, собора 1, аптеки 1, дерева 1, картин 1, замка 1, пальмы 1, достопримечательностей 1, зимнего пейзажа 1, куста 1, лесного массива 1, экспоната 1, стены 1, пейзаж 1, ели 1, дома 1, Домского собора 1, лужайке 1, университета 1, статуи 1, здания 1, кремля 1, гор 1, горы 1, чистого неба 1, небо 1, развалин 1, елки 1	11.764706	5.035920	169.9	3	3117.070588	2843.976471
94	Депутат обвинил мэра в	коррупции	86	0	42	коррупции 21, халатности 5, растрате 4, лжи 4, взяточничестве 3, взяточнистве 3, подлоге 3, взятке 3, краже 2, взятках 2, бездействии 2, воровстве 2, мошенничестве 2, предвзятости 2, приписках 1, некорректности 1, хищении 1, надувательстве 1, махинации 1, растрате(?) 1, взятчестве 1, нечистоплотности 1, похищении денег 1, глупости 1, хищениях 1, недопустимости 1, некомпетенции 1, лишних средсв 1, нарушениях 1, нечестности 1, недопустимом отношении к чему-то 1, жестокости 1, измене 1, клевете 1, жульничестве 1, равнодушии 1, растратах 1, стяжательстве 1, подлоге документов 1, некомпетентности 1, грязных делах 1, ошибке 1	24.418605	4.671987	23.0	4	2555.674419	2459.000000
95	Выходя из дома, я забыла взять 	ключи	84	2	20	ключи 20, зонтик 14, сумку 10, зонт 9, телефон 5, кошелек 4, деньги 4, очки 2, портфель 2, проездной 2, паспорт 2, шарф 2, перчатки 1, сумочку 1, варежки 1, ключ 1, кашне 1, платок 1, проездной билет 1, часы 1	23.809524	3.545892	78.0	2	2134.500000	1992.702381
96	Директор ещё не вернулся из	командировки	86	0	9	командировки 51, отпуска 26, школы 3, класса 1, РОНО (мб по-другому пишется) 1, - 1, ГорОНО 1, РайОНО 1, РОНО 1	59.302326	1.586032	27.2	5	1752.069767	1537.116279
